=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2021.05.16 18:46:21 =~=~=~=~=~=~=~=~=~=~=~=,,
451,338,628
97,452,697
-167,585,798
-407,686,1022
-507,812,1219
-543,898,1307
-526,947,1391
-440,1062,1396
-306,1090,1395
-236,1136,1477
-60,1177,1552
34,1143,1778
54,1096,1921
104,1120,2058
60,1068,2184
-81,1035,2253
-114,953,2316
234,869,2265
458,757,2233
802,732,2226
1215,671,2248
1482,551,2311
1953,528,2511
2171,415,2569
2608,388,2712
2691,293,2708
2889,199,2747
2858,196,2741
2788,108,2612
2617,135,2365
2364,156,2082
2033,194,1908
1619,174,1775
1283,167,1678
772,113,1584
427,130,1479
49,152,1204
-209,112,979
-539,151,689
-709,151,369
-856,113,185
-1003,23,40
-1113,23,-67
-1130,34,-204
-1013,82,-251
-739,156,-330
-522,286,-229
-223,355,-36
-36,420,201
207,518,658
443,648,945
660,820,1451
804,997,1813
987,1094,2512
1147,1245,3204
1486,1433,3663
1585,1501,4429
1565,1579,4907
1549,1544,5587
1440,1546,5954
1323,1384,6009
1177,1300,5727
1078,1146,5201
817,949,4690
516,833,3904
240,566,3339
-189,329,2381
-453,40,1726
-855,-143,729
-1123,-424,-248
-1336,-699,-799
-1365,-856,-1511
-1392,-1022,-2047
-1260,-1137,-2209
-1075,-1218,-2360
-897,-1232,-2130
-646,-1228,-1651
-408,-1203,-1199
-142,-1158,-600
170,-1073,-122
367,-863,57
573,-666,269
697,-349,444
826,-195,686
849,54,1047
809,209,1324
699,400,1683
568,571,1872
468,655,2167
261,779,2321
94,819,2344
-85,899,2318
-357,925,2143
-574,952,2035
-888,952,1846
-1014,842,1556
-1208,698,1284
-1233,582,878
-1227,426,553
-1174,422,60
-1062,333,-93
-1077,210,-135
-1435,479,753
-3392,-418,1520
-2334,-1237,1714
-1294,-1842,-339
389,-1644,-2397
1887,-1313,-5048
2991,-924,-6120
3435,-806,-5834
3708,-821,-4435
3922,-910,-2560
3900,-960,-1350
3679,-952,10
3529,-824,737
3188,-568,861
2624,-396,688
2155,-90,442
1035,195,-122
537,350,-64
-447,310,467
-1244,-165,1539
-1842,-442,1719
-2178,-377,876
-1771,-166,-51
-1526,-133,-384
-1164,-381,-185
-853,-877,542
-563,-1386,867
333,-1442,57
995,-1056,-1166
2237,-614,-2736
2806,-176,-3032
3015,-219,-2494
2660,-304,-1113
2254,-458,384
1589,-387,1068
888,-272,1646
415,45,1624
-278,306,1341
-702,660,1103
-1362,838,1089
-1905,900,1313
-2214,837,1502
-2523,793,1822
-2547,697,2180
-2518,540,2586
-2339,280,3236
-2115,-273,2854
-1478,-291,1887
-322,-115,232
421,-211,-529
1170,-332,-1024
1607,-781,-827
1882,-1204,-510
2062,-1454,-378
2345,-1511,-862
2427,-1258,-1283
2498,-1024,-1656
2365,-1024,-1247
2205,-1227,-597
1708,-1386,-76
1338,-1507,551
1061,-1528,698
907,-1353,667
738,-1259,745
791,-1187,681
787,-1117,415
800,-1048,-152
934,-763,-607
907,-620,-1040
817,-543,-1082
542,-534,-702
279,-683,-202
-60,-717,-219
-332,-520,-691
-412,-183,-1175
-439,182,-1599
-554,339,-1481
-635,393,-1057
-876,407,-160
-971,322,836
-1042,257,1238
-1050,284,1507
-1154,427,1378
-1062,540,904
-927,710,552
-729,752,479
-713,764,726
-593,686,1006
-330,522,1387
-204,243,1631
86,176,1661
435,123,1480
946,78,1195
1097,-50,992
1183,-209,676
1233,-396,127
1195,-558,-352
923,-528,-1073
839,-538,-1476
532,-549,-1808
195,-561,-1845
54,-537,-1681
-180,-510,-1310
-321,-614,-935
-488,-629,-791
-306,-625,-669
-202,-498,-569
74,-449,-531
332,-432,-441
546,-327,-378
927,-305,-67
1046,-314,209
1230,-455,514
1327,-556,452
1681,-538,171
2064,-460,-281
2305,-328,-507
2575,-259,-585
2666,-238,-369
2665,-273,-81
2650,-270,255
2697,-195,457
2616,-104,799
2549,-104,942
2106,-245,823
2297,-169,2
2204,97,-641
1980,310,-1616
1859,641,-1995
1466,882,-2019
1148,1063,-1435
639,1124,-842
305,1132,-66
170,1267,296
189,1449,509
195,1689,536
215,1854,575
146,2023,765
16,1982,961
-79,1939,1274
-263,1813,1348
-377,1665,1415
-463,1432,1409
-498,1249,1212
-704,1031,900
-720,677,600
-924,410,-105
-859,72,-657
-615,-89,-1698
-427,-312,-2306
-504,-207,-2300
-1613,-246,-1550
-2993,-1631,-847
-1892,-2718,-1374
137,-2710,-4034
1998,-2241,-7194
3309,-1741,-9205
5001,-1668,-9524
6530,-1828,-8614
8025,-2166,-7012
9007,-2294,-5663
10226,-2153,-4919
11086,-1920,-3946
11325,-1485,-3016
11125,-1051,-2009
10404,-687,-1293
9110,-640,-79
7779,-868,1007
6474,-1264,1570
4690,-1180,966
3782,-627,-1153
2941,-39,-2358
1681,151,-3194
802,-5,-2928
-507,-248,-2755
-1707,-191,-2773
-2336,23,-3212
-2928,311,-3454
-3385,457,-3661
-3643,598,-3510
-3857,556,-3053
-3928,528,-2491
-3891,553,-2127
-3650,618,-1642
-3194,695,-1149
-2925,718,-790
-2426,717,-191
-1825,654,382
-1390,571,753
-692,540,1146
-157,479,1501
605,415,1682
1137,369,1809
1857,225,1837
2383,139,1890
2775,-57,1816
3142,-143,1565
3309,-262,1135
3384,-375,805
3365,-467,404
3308,-588,113
3017,-649,-419
2858,-690,-938
2505,-785,-1255
2190,-754,-1579
2081,-823,-1738
1847,-949,-1675
1863,-973,-1549
1718,-1050,-1256
1689,-1142,-928
1728,-1312,-489
1807,-1512,-167
1858,-1678,-21
2139,-1755,61
2334,-1802,156
2559,-1939,287
2642,-2074,416
2866,-2222,442
3171,-2251,475
3329,-2305,464
3393,-2400,480
3420,-2429,506
3363,-2492,528
3168,-2513,522
2722,-2533,608
2252,-2568,329
1416,-2338,-56
775,-2152,-562
483,-1848,-789
166,-1796,-581
61,-1959,28
87,-1969,360
195,-1961,810
435,-1919,1130
725,-1864,1667
807,-1806,2128
1138,-1755,2497
1166,-1717,2785
1165,-1775,2861
1800,-1821,2745
2463,-1756,2334
2753,-1616,1674
3305,-1464,1197
3782,-1353,590
4144,-1194,188
4341,-1083,-91
4454,-989,-471
4381,-782,-1015
4065,-559,-1314
3637,-399,-1578
3258,-337,-1500
2883,-451,-1287
2307,-430,-1151
2266,-96,-1357
1258,-123,-1769
1811,-206,-1759
2718,-477,-1749
191,-788,-1575
-1082,-735,-1346
-2873,21,-2161
-6159,928,-2548
-8503,1352,-2320
-9903,1529,-1130
-11828,1238,-221
-13272,999,657
-14048,947,571
-14000,1084,4
-13663,1245,-1313
-12792,1424,-2551
-12276,1442,-3253
-11167,1387,-4217
-10137,1432,-5151
-8785,1641,-5602
-7866,1669,-5449
-6940,1700,-5114
-5935,1779,-4244
-5319,1910,-3047
-4948,2024,-1609
-4544,2133,-490
-4516,2174,1069
-4581,2297,2370
-4741,2313,2823
-5226,2682,2730
-5505,3211,4417
-5890,2689,6045
-7117,2032,8097
-7755,939,8730
-8260,114,7937
-8529,-230,5491
-8681,-479,1985
-8627,-726,-505
-8458,-975,-3618
-7478,-1399,-6832
-8842,-1183,-8373
-10494,-941,-9362
-11909,-908,-9432
-12856,-654,-8793
-14093,-472,-8078
-15039,-358,-6851
-15753,-141,-5653
-16592,78,-4745
-16642,633,-4645
-16051,1570,-4904
-15779,2389,-4774
-15956,3247,-3814
-16182,3590,-2518
-16435,3659,-1782
-16458,3645,-1087
-16285,3488,-963
-15857,3417,-1140
-14971,3286,-1425
-14138,3143,-1943
-13072,2740,-2301
-12381,2189,-2501
-11429,1648,-2514
-10275,1420,-2545
-9342,1008,-2007
-8753,362,-1099
-8188,-241,-469
-7366,-504,217
-7041,-878,634
-6367,-920,725
-5528,-910,625
-5048,-873,525
-4149,-832,547
-3717,-932,495
-3326,-1137,610
-2914,-1849,958
-3352,-2475,1297
-3745,-2995,1026
-4373,-3235,451
-4889,-3345,-527
-5369,-3461,-1582
-5428,-3474,-2400
-5488,-3627,-2716
-5256,-3795,-2963
-5132,-3969,-3198
-4860,-4001,-3203
-4718,-4003,-3142
-4701,-3765,-3110
-5062,-3378,-3366
-5865,-2512,-3406
-6910,-2208,-2946
-8096,-2312,-1785
-9205,-2494,-521
-10017,-2795,471
-11671,-2625,777
-13508,-2259,940
-15299,-1963,982
-16317,-1503,785
-17051,-1260,619
-16944,-829,307
-15759,-408,-435
-14879,-77,-941
-13376,-714,-319
-11992,-1367,724
-10867,-2054,1222
-8970,-2671,1364
-6959,-2350,1121
-5525,-1997,104
-4513,-1257,-996
-3701,-182,-1734
-3435,781,-2404
-3375,1122,-2271
-3649,1634,-1587
-4363,1809,-837
-5390,1600,617
-6074,1182,2079
