=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2021.05.17 13:47:03 =~=~=~=~=~=~=~=~=~=~=~=,,,,,,
132,7516,-14652, ,174,183,-331
244,7604,-14612, ,175,189,-328
204,7552,-14624, ,175,189,-328
280,7636,-14636, ,169,188,-336
172,7624,-14656, ,169,188,-336
200,7528,-14648, ,169,188,-336
188,7528,-14584, ,175,182,-330
188,7580,-14620, ,175,182,-330
124,7644,-14564, ,168,184,-335
184,7512,-14668, ,168,184,-323
208,7440,-14616, ,170,189,-323
220,7508,-14596, ,174,185,-336
236,7440,-14696, ,174,185,-336
136,7500,-14588, ,170,189,-335
200,7532,-14656, ,170,189,-335
144,7488,-14728, ,170,189,-335
160,7460,-14656, ,170,189,-335
312,7604,-14560, ,170,189,-335
248,7552,-14664, ,170,177,-325
152,7532,-14732, ,170,177,-325
232,7552,-14632, ,166,180,-331
304,7564,-14628, ,166,179,-340
108,7568,-14680, ,165,179,-340
168,7512,-14656, ,170,182,-337
192,7528,-14568, ,170,182,-337
188,7564,-14620, ,177,187,-335
184,7584,-14576, ,177,187,-335
232,7520,-14584, ,177,187,-335
176,7504,-14576, ,169,193,-329
172,7512,-14644, ,169,193,-329
280,7572,-14572, ,165,179,-333
316,7560,-14624, ,165,179,-324
220,7524,-14640, ,169,175,-324
208,7540,-14584, ,168,182,-333
176,7528,-14588, ,168,182,-333
212,7632,-14592, ,171,185,-329
192,7480,-14636, ,171,185,-329
140,7480,-14596, ,171,185,-329
180,7496,-14544, ,171,185,-329
208,7564,-14668, ,171,185,-329
144,7468,-14620, ,171,188,-331
192,7420,-14548, ,171,188,-331
136,7452,-14608, ,169,180,-329
200,7464,-14660, ,169,179,-335
240,7596,-14672, ,165,179,-335
176,7576,-14636, ,168,184,-330
212,7604,-14644, ,168,184,-330
240,7540,-14572, ,171,183,-334
188,7512,-14632, ,171,183,-334
232,7580,-14640, ,171,183,-334
168,7564,-14536, ,182,192,-335
200,7516,-14612, ,182,192,-335
208,7476,-14624, ,163,187,-330
240,7496,-14756, ,163,187,-334
204,7572,-14632, ,179,180,-334
116,7540,-14584, ,170,182,-335
164,7500,-14568, ,170,182,-335
220,7516,-14684, ,175,182,-333
156,7540,-14644, ,175,182,-333
136,7548,-14648, ,175,182,-333
180,7480,-14652, ,175,182,-333
244,7500,-14628, ,175,182,-333
188,7584,-14624, ,166,185,-336
