=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2021.05.15 17:13:55 =~=~=~=~=~=~=~=~=~=~=~=,,
-1,-1,-495
2,0,-511
0,0,-496
-4,-5,-496
-4,-2,-508
-2,-5,-506
-2,-2,-501
3,-1,-507
3,-1,-507
-1,-3,-492
-4,-2,-496
-2,-5,-503
1,-3,-502
2,-2,-503
-3,1,-488
-1,-1,-500
-2,2,-498
-3,-1,-497
0,5,-503
0,0,-496
0,0,-496
-2,2,-498
4,2,-489
-4,-5,-501
-2,2,-498
-4,2,-496
1,-3,-502
-4,-5,-506
-3,-3,-500
-4,-5,-506
2,-2,-503
-3,1,-502
-4,-5,-501
0,0,-496
-4,-5,-506
0,5,-503
0,2,-494
-1,-3,-507
0,2,-498
-1,-3,-502
-2,0,-501
-2,0,-498
-1,1,-497
-3,-1,-507
-4,2,-506
0,2,-494
0,2,-501
0,-5,-496
0,0,-496
-1,-1,-500
-3,-3,-504
-4,0,-494
1,-3,-502
-1,-3,-502
-1,1,-497
0,-2,-501
-1,-1,-502
4,0,-494
-3,1,-488
2,-5,-501
-4,-2,-508
-1,-3,-507
0,-2,-515
-3,-3,-504
-4,5,-498
0,0,-496
1,-3,-502
-2,-5,-506
-4,0,-503
-2,2,-503
1,-3,-507
-3,-3,-500
0,0,-501
0,5,-503
2,-5,-501
-2,0,-506
-3,1,-504
-4,-2,-496
-1,3,-504
2,2,-498
0,0,-491
1,3,-504
0,5,-503
-1,1,-497
-1,-3,-507
-3,1,-502
-2,-5,-501
-2,-2,-503
-4,-5,-496
2,0,-511
-4,-2,-506
4,2,-489
-2,-5,-506
-1,-1,-492
-4,0,-498
0,2,-494
-4,2,-506
0,2,-494
-2,-5,-501
-2,-5,-506
-1,-1,-495
-1,1,-502
-1,-1,-502
-2,-5,-506
-4,-2,-501
-1,1,-502
-2,-5,-506
-4,-5,-503
0,0,-496
0,-5,-498
-4,-2,-501
2,-5,-501
2,0,-501
-4,-5,-506
0,2,-494
-4,-5,-498
-1,-3,-502
-1,1,-502
0,-2,-501
2,0,-503
-3,-3,-500
0,0,-501
2,-2,-496
2,0,-503
-4,2,-506
1,-3,-502
2,0,-508
-3,1,-504
-1,1,-497
-3,-5,-500
