=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2021.05.16 18:33:33 =~=~=~=~=~=~=~=~=~=~=~=,,
-58,57,-12
-50,40,15
-102,43,7
-110,45,-18
-38,18,-10
-47,43,-20
-65,31,-41
-86,41,-42
-84,19,-12
-22,21,3
-76,5,-23
-64,26,-16
-39,50,-42
-38,28,10
-38,37,-5
-89,33,-24
-60,6,-1
-99,26,-56
-60,28,-40
-64,6,-10
-79,40,-34
-86,23,0
-67,42,-16
-76,19,5
-52,18,-35
-57,28,-42
-74,21,-25
-50,18,-14
-74,30,23
-93,12,-29
-64,82,11
-72,70,-23
-80,31,12
-57,42,-27
-39,4,-17
-58,12,-19
-49,45,13
-85,11,-12
-30,26,7
-84,26,1
-72,10,8
-92,26,-6
-69,21,26
-45,-1,-24
-79,16,16
-22,30,-30
-53,50,-31
-59,54,-21
-34,27,-3
-53,21,-19
-74,14,9
-81,2,-5
-98,-15,5
-74,-1,13
-60,28,-14
-24,2,2
-62,28,-12
-64,-8,6
-59,38,-5
-62,3,-17
-36,-15,-19
-54,18,-36
-88,11,-15
-40,22,-16
-78,36,-21
-39,52,12
-95,11,-7
-51,14,-34
-49,4,3
-67,35,-7
-64,-3,-15
-29,25,26
-50,30,-20
-68,9,-8
-55,11,-1
-99,21,-1
-100,35,-7
-106,31,21
-48,42,18
-100,9,-6
-68,7,-27
-58,15,-8
-57,52,4
-43,16,-58
-47,20,-24
-79,17,-20
-69,39,-28
-62,50,-38
-62,22,18
-77,-20,47
-24,-56,17
-65,-36,14
-71,-35,5
-107,-44,4
-48,-3,26
-42,30,5
-70,19,-8
-24,36,-38
-26,52,-50
-96,77,-39
-131,56,-36
-104,25,-34
-102,14,-45
-59,41,-31
-56,16,-3
-59,11,-14
-54,22,-22
-41,19,-60
-14,-16,-38
-83,11,-46
-83,30,-29
-76,46,-39
-48,25,-7
-92,6,-22
-101,23,-31
-86,10,-24
-78,5,-11
-44,21,9
-90,42,-19
-72,18,-53
-108,11,-55
-92,42,-44
-64,-12,-29
-71,1,-3
-74,11,1
-91,-17,-3
-88,14,-13
-84,18,9
-95,-10,-17
-57,-6,11
-108,19,4
-114,9,-27
-79,18,-27
-71,19,-24
-121,18,-25
-79,20,-36
-74,7,-42
-62,4,-55
-72,17,-51
-97,-11,-44
-88,-19,-45
-73,14,-98
-95,20,-31
-63,9,-10
-117,-10,-32
-60,-3,-54
-43,-3,-38
-49,-5,-25
-34,-24,-15
-72,14,-57
-97,21,-57
-100,56,-31
-44,9,-39
-81,-15,-60
-88,28,-48
-52,22,-98
-48,4,-70
-72,35,-61
-46,-10,-86
-50,4,-99
-79,21,-79
-93,45,-67
-84,28,-77
-40,14,-96
-88,-14,-76
-79,7,-57
-76,33,-85
-79,20,-83
-44,25,-55
-79,33,-61
-69,4,-39
-87,25,-57
-54,26,-100
-73,28,-57
-78,24,-76
-93,4,-62
-34,16,-83
-60,11,-19
-83,15,-10
-98,23,-46
-57,40,-35
-54,0,-58
-57,-7,-31
-64,-3,-72
-115,7,-66
-76,2,-72
-69,19,1
-87,7,-38
-55,27,-23
-39,-8,-33
-43,10,-22
-38,-5,-15
-38,-21,-57
-98,14,-27
-73,22,-19
-36,10,-27
-65,-14,-24
-64,25,-28
-76,26,-53
-53,9,-27
-55,-7,-29
-79,-11,-36
-83,2,-83
-64,11,-51
-38,8,-67
-37,-25,-24
-116,-8,-27
-77,-27,14
-61,1,1
-83,16,-51
-36,9,-10
-54,42,-27
-69,43,-52
-32,16,-30
-75,17,-1
-70,-32,10
-92,0,-38
-117,12,-23
-55,30,-35
-101,17,-60
-96,16,-17
-76,-5,-34
-69,26,-48
-69,21,-65
-88,1,7
-67,40,-36
-79,-3,-8
-80,-4,10
-34,14,-35
-50,15,11
-67,21,-31
-73,-3,-11
-38,41,-36
-34,-24,17
-80,13,-25
-78,38,-40
-81,18,1
-51,35,-1
-114,21,-38
-83,18,-38
-61,16,26
-64,28,-11
-57,-3,4
-75,0,15
-78,7,9
-61,18,16
-72,-3,-53
-69,18,-38
-79,37,-19
-80,24,-55
-86,20,-45
-70,6,-29
-68,35,-31
-69,37,-62
-101,-2,-45
-67,16,-74
-72,45,-31
-10,29,-90
-40,39,-39
-102,45,-45
-69,47,-10
-95,26,-35
-58,2,-41
-61,21,-12
-64,31,-33
-38,30,-36
-26,25,-36
-98,42,-81
-78,-24,-48
-80,9,-42
-62,11,-34
-79,-24,0
-70,23,-48
-59,1,16
-62,16,-19
-69,2,-14
-62,21,-22
-75,45,-23
-25,41,0
-53,22,-64
-37,24,-22
-69,23,-68
-46,2,-36
-79,26,-13
-59,56,-27
-52,42,37
-52,8,-3
-61,49,-29
-62,43,11
-34,37,-9
-34,18,-24
-64,-8,5
-43,-12,-6
-46,55,-4
-92,47,-23
-73,38,-38
-34,31,19
-55,33,-19
-81,2,-13
-76,40,7
-85,6,-4
-75,30,-5
-45,-6,-39
-71,-20,2
-82,28,-3
-60,7,-3
-34,16,0
-57,30,-29
-55,12,-6
-65,-33,5
-50,13,-35
-33,-14,-39
-65,16,-33
-69,4,-31
-99,0,-37
-69,13,-17
-84,14,-1
-64,7,-19
-113,4,-15
-56,-31,-19
-34,11,-31
-48,38,-22
-73,5,-46
-79,3,-74
-38,57,-3
-57,24,-8
-57,33,-24
-51,44,-7
-69,0,-16
-60,18,-43
-78,41,-19
-57,12,-34
-57,37,-27
-58,-24,-33
-64,4,-36
-86,0,-27
-81,18,-20
-57,2,-15
-48,9,-6
-62,29,-25
-61,37,26
-45,32,-15
-48,20,-22
-34,13,-14
-74,52,-41
-78,7,-13
-53,11,-29
-19,16,2
-44,16,-8
-66,-15,-9
-71,7,-27
-67,64,-2
-75,25,20
-78,5,-20
-73,34,35
-95,27,-16
-81,-14,-44
-48,10,-20
-68,16,0
-36,23,-57
-43,11,-24
-71,2,15
-74,21,-8
-86,33,-48
-7,3,-15
-58,33,-31
-98,19,-21
-67,48,20
-88,9,4
-39,2,-30
-58,4,-22
-43,20,4
-72,14,-4
-87,26,-5
-101,30,-15
-80,16,-10
-73,40,11
-86,15,1
-67,0,9
-69,27,-24
-29,11,-35
-70,27,1
-78,13,-29
-68,-19,-19
-60,24,-22
-54,16,-15
-67,30,-17
-52,21,-57
-35,-14,-31
-90,19,17
-67,21,-38
-57,8,-17
-99,14,5
-80,9,11
-91,-5,-19
-74,26,-48
-80,41,1
-80,37,10
-64,30,-34
-31,23,-34
-75,7,-16
-84,48,16
-67,29,9
-53,-1,16
-80,-14,4
-63,18,-22
-41,23,2
-81,-15,38
-44,11,-17
-72,16,3
-87,18,-34
-52,-12,11
-49,-27,5
-41,-5,9
-108,-5,19
-70,-12,-20
-60,-11,-3
-37,20,-2
-31,-12,-18
-67,58,-12
-98,-14,-40
-40,2,-9
-37,-15,1
-59,-13,-5
-74,-15,15
-72,19,21
-94,46,-29
-57,31,-12
-144,40,21
-76,4,5
-72,-7,-4
-56,11,-15
-76,41,9
-61,-5,-17
-69,9,-12
-72,18,-44
-60,31,-17
-38,33,-18
-56,37,-3
-81,44,17
-88,9,0
-43,35,-3
-75,-4,14
-48,14,6
-81,32,12
-59,18,-10
-50,-21,38
-46,30,-58
-85,28,-43
-83,14,-38
-38,5,-24
-88,11,-8
-67,10,-8
23,-23,-27
27,-55,12
15,-12,0
-2,-20,-12
-16,-22,10
-52,26,4
-74,-8,-49
-17,11,-5
-36,10,-26
-23,-29,-22
4,-53,-1
