=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2021.05.16 18:48:30 =~=~=~=~=~=~=~=~=~=~=~=,,,
-694,182,-379,-63
85,-412,-202,
-31,-417,-380,
-154,-448,-463,
-290,-477,-635,
-387,-452,-735,
-550,-403,-821,
-609,-408,-855,
-619,-339,-890,
-606,-279,-898,
-525,-210,-819,
-456,-175,-782,
-413,-83,-650,
-349,8,-499,
-259,105,-360,
-206,133,-277,
-126,224,-173,
-74,304,-74,
22,297,-93,
106,331,-92,
144,375,-34,
202,409,-19,
272,483,28,
311,518,127,
310,528,225,
350,546,338,
326,544,417,
307,549,486,
254,553,519,
236,523,485,
144,532,485,
99,549,426,
5,505,416,
-33,489,448,
-17,457,431,
-13,411,462,
72,389,573,
113,303,620,
246,291,728,
385,182,771,
614,116,800,
712,11,760,
798,-81,681,
908,-171,618,
973,-235,468,
862,-270,357,
703,-326,307,
586,-325,262,
398,-347,239,
299,-356,172,
165,-380,175,
128,-428,123,
109,-472,-14,
43,-471,-150,
14,-495,-356,
-24,-504,-548,
-19,-500,-642,
-37,-513,-723,
-36,-474,-767,
-67,-420,-780,
-81,-398,-727,
-98,-318,-626,
-128,-256,-557,
-174,-153,-459,
-221,-136,-360,
-213,-60,-344,
-188,-36,-249,
-186,-18,-321,
-168,-36,-325,
-121,2,-435,
-105,73,-394,
-104,130,-427,
-101,186,-318,
-137,253,-163,
-84,321,68,
-36,353,208,
-3,397,319,
136,411,497,
275,435,632,
356,434,724,
483,462,807,
549,435,866,
537,317,819,
485,270,698,
421,198,627,
230,132,478,
146,63,356,
-8,2,203,
-34,-48,124,
-123,-73,28,
-237,-119,-2,
-206,-157,-41,
-215,-244,-28,
-153,-254,-30,
-94,-294,-60,
-86,-375,-49,
-41,-387,-108,
-33,-396,-154,
-31,-410,-225,
0,-452,-261,
-18,-528,-308,
-38,-462,-413,
-85,-517,-761,
-221,-583,-1174,
-482,-610,-1821,
-674,-764,-2258,
-1092,-835,-2523,
-1557,-874,-2928,
-1888,-822,-3133,
-2097,-806,-3091,
-2367,-815,-3101,
-2550,-782,-3192,
-2623,-735,-3319,
-2669,-717,-3537,
-2635,-735,-3630,
-2468,-737,-3795,
-2333,-732,-3857,
-2194,-713,-3826,
-1996,-692,-3786,
-1827,-669,-3747,
-1691,-660,-3686,
-1483,-658,-3601,
-1298,-657,-3470,
-1142,-664,-3203,
-960,-600,-2855,
-848,-509,-2596,
-668,-474,-2075,
-526,-375,-1439,
-381,-233,-1008,
-136,-151,-356,
-57,-44,248,
101,97,565,
214,120,1010,
333,223,1265,
374,314,1546,
447,351,1702,
499,367,1845,
568,342,1949,
659,388,1972,
682,352,1925,
728,325,1782,
819,307,1695,
916,260,1472,
916,230,1237,
1032,165,902,
1056,129,694,
1024,106,362,
1050,75,102,
998,42,-147,
961,62,-368,
934,-15,-657,
920,-53,-860,
911,-99,-1182,
863,-138,-1538,
824,-122,-1758,
752,-61,-1983,
716,-113,-2168,
667,-112,-2222,
634,-53,-2246,
672,-102,-2189,
802,-87,-2030,
909,-125,-1712,
1061,-145,-1544,
1151,-113,-1319,
1225,-77,-1090,
1295,-73,-790,
1218,-35,-583,
1134,-17,-612,
1120,-30,-687,
1236,-53,-607,
1456,-20,-482,
1579,-38,-171,
1643,-38,-114,
1826,-80,-292,
1998,-98,-602,
2238,-268,-833,
2323,-423,-977,
2321,-402,-1021,
2290,-299,-932,
2122,-334,-866,
1950,-308,-1062,
1647,-426,-1431,
1606,-493,-1667,
1196,-640,-1805,
1076,-655,-1941,
889,-549,-2028,
793,-406,-2075,
644,-401,-1963,
549,-404,-1914,
346,-462,-1950,
288,-535,-2132,
121,-545,-2155,
23,-550,-2210,
-49,-541,-2246,
-140,-573,-2256,
-203,-544,-2372,
-249,-501,-2469,
-227,-517,-2513,
-141,-496,-2513,
-234,-564,-2567,
-341,-632,-2632,
-476,-484,-1550,
-332,-182,2221,
536,443,3071,
1046,742,2299,
967,703,1755,
640,510,1437,
414,463,1307,
75,521,1150,
-163,620,1030,
-319,608,994,
-408,519,1048,
-450,397,1181,
-499,333,1387,
-548,276,1474,
-653,407,1520,
-652,469,1559,
-642,494,1582,
-613,489,1511,
-533,561,1503,
-503,553,1427,
-424,558,1378,
-442,638,1229,
-513,820,1141,
-577,824,911,
-593,592,563,
