=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2021.05.14 00:50:41 =~=~=~=~=~=~=~=~=~=~=~=



16520
16500
16488
16480
16480
16492
16492
16456
16432
16492
16528
16460
16376
16408
16432
16392
16392
16412
16452
16476
16492
16480
16480
16456
16448
16452
16404
16404
16436
16452
16456
16536
16552
16500
16448
16456
16476
16412
16420
16472
16444
16472
16492
16496
16520
16476
16460
16436
16440
16440
16456
16384
16404
16428
16404
16464
16556
16552
16496
16512
16536
16448
16384
16428
16452
16460
16492
16504
16512
16528
16528
16464
16476
16488
16432
16452
16468
16484
16524
16496
16472
16516
16528
16476
16436
16428
16480
16520
16492
16492
16456
16456
16432
16472
16520
16544
16492
16512
16496
16456
16496
16516
16540
16532
16520
16536
16540
16544
16476
16388
16476
16500
16500
16444
16436
16456
16504
16480
16436
16436
16420
16408
16484
16520
16460
16440
16448
16488
16536
16492
16476
16472
16448
16448
16556
16572
16480
16492
16496
16488
16432
16428
16488
16512
16440
16440
16536
16480
16468
16532
16536
16472
16484
16520
16464
16464
16464
16492
16504
16512
16540
16504
16424
16472
16544
16504
16484
16536
16544
16520
16508
16436
16424
16500
16516
16516
16516
16576
16576
16452
16464
16496
16424
16436
16472
16488
16496
16416
16392
16432
16428
16444
16424
16356
16356
16432
16524
16524
16492
16472
16460
16412
16428
16404
16412
16424
16476
16572
16524
16464
16484
16532
16504
16424
16424
16448
16448
16428
16428
16480
16540
16488
16440
16440
16444
16436
16432
16452
16448
16488
16524
16464
16488
16544
16488
16392
16384
16460
16448
16448
16448
16480
16524
16540
16468
16452
16508
16548
16512
16488
16544
16528
16456
16452
16396
16368
16360
16400
16472
16460
16460
16460
16432
16420
16424
16476
16528
16524
16568
16564
16448
16356
16480
16552
16400
16404
16468
16440
16504
16520
16468
16476
16476
16448
16396
16364
16420
16476
16420
16492
16564
16488
16400
16416
16440
16440
16484
16492
16412
16444
16516
16472
16524
16524
16536
16472
16480
16452
16448
16504
16400
16396
16476
16524
16552
16456
16416
16488
16508
16448
16516
16584
16432
16412
16500
16500
16504
16544
16524
16468
16468
16496
16508
16468
16456
16464
16428
16496
16532
16476
16448
16440
16484
16488
16444
16396
16396
16452
16540
16496
16400
16420
16472
16520
16556
16484
16408
16428
16524
16536
16456
16444
16464
16488
16488
16512
16476
16412
16412
16388
16392
16456
16488
16476
16500
16580
16536
16516
16556
16524
16520
16424
16392
16508
16448
16404
16488
16500
16492
16476
16476
16428
16412
16444
16528
16500
16476
16480
16456
16444
16488
16544
16564
16504
16452
16508
16520
16456
16404
16420
16436
16436
16464
16524
16488
16376
16380
16396
16424
16436
16424
16484
16488
16424
16380
16456
16488
16444
16444
16488
16476
16468
16468
16484
16452
16440
16468
16512
16512
16476
16460
16492
16484
16532
16580
16516
16456
16492
16512
16588
16592
16476
16444
16524
16524
16540
16492
16488
16512
16480
16392
16392
16348
16452
16564
16520
16488
16452
16456
16400
16392
16516
16524
16452
16464
16464
16496
16520
16488
16484
16504
16520
16528
16484
16492
16448
16396
16360
16348
16396
16356
16400
16452
16476
16504
16492
16464
16464
16460
16484
16376
16408
16552
16536
16444
16456
16500
16480
16484
16524
16524
16460
16456
